가게,store
검사,test
검은색,Black color
검정색,black
검토,examine
겁,cowardice
겁나다,scary
것,thing
겉,outside
게,crab
게다가,furthermore
게시판,notice board
게으르다,lazy
게임,game
겨우,barely
겨울,winter
겨울철,winter
겨자,mustard
겪다,experience
견디다,Endure
견해,View
결과,result
결과적,resultant
결국,at last
결론,conclusion
결석,absent
결석하다,be absent
결승,finals
결심,Determination
결심하다,Decide
결정,decision
결정되다,be decided
결정하다,decide
결코,never
결혼,marriage
결혼식,Wedding ceremony
결혼하다,Get married
경계,boundary
경고,warning
경고하다,warn
경기,game
경기도,gyeonggi-do
경기장,Stadium
경력,career
경복궁,Gyeongbokgung
경비,guard
경상도,Gyeongsang-do
경영,management
경영하다,run
경우,case
경쟁,compete
경쟁력,Competitiveness
경제,economy
경제력,economic power
경제적,economical
경제학,economics
경주,Gyeongju
경찰,police
경찰관,police officer
경찰서,police office
경치,sight
경향,tendency
경험,experience
경험하다,Experience
곁,neighborhood
계곡,Valley
계단,stairs
계란,egg
계산,calculate
계산기,A calculator
계산하다,Calculate
계속,continue
계속되다,continue
계속하다,Continue
계시다,be there
계약,contract
계절,season
계좌,account
계층,hierarchy
계획,plan
계획하다,Plan
고개,head
고객,customer
고교,high school
고구려,Goguryeo
고구마,sweet potato
고궁,old palace
고급,advanced
고급스럽다,It's luxurious
고기,meat
고등학교,high school
고등학생,high school student
고려,Consideration
고려하다,consider
고르다,choose
고맙다,thanks
고모,aunt
고모부,Uncle
고무신,rubber shoes
고민,worry
고민하다,worry
고생,hardship
고생하다,Is suffering
고소하다,accuse
고속,high speed
고속도로,highway
고속버스,Express Bus
고양이,cat
고요하다,calm
고작,At best
고장,breakdown
고전,classic
고집,stubborn
고집하다,insist
고추,pepper
고추장,chili pepper paste
고춧가루,chili powder
고치다,fix
고통,pain
고통스럽다,It's painful
고프다,I'm hungry
고함,shout
고향,hometown
곡,song
곡식,grain
곤란하다,It is difficult
곧,soon
곧다,straight
곧바로,Right away
곧이어,Soon after
곧잘,soon
곧장,right away
골,goal
골고루,Evenly
골목,alley
골목길,close
골짜기,valley
골치,headache
골프,golf
골프장,golf course
곰,bear
곱다,pretty
곳,place
곳곳,everywhere
공,ball
공간,space
공개,open
공개하다,Open to the public
공격,attack
공격하다,attack
공공,public
공군,air Force
공급,supply
공기,air
공동,public
공무원,public official
공부,study
공부하다,study
공사,construction
공식,official
공식적,official
공업,industry
공연,show
공연되다,performed
공연장,concert hall
공연하다,perform
공연히,vainly
공원,park
공장,factory
공주,princess
공중,Public
공중전화,Payphone
공짜,free
공책,Notebook
공통,common
공통되다,common
공통적,common
공통점,common ground
공포,fear
공항,airplane
공항버스,airport bus
공해,pollution
공휴일,holiday
과,class
과거,past
과목,subject
과연,indeed
과외,tutoring
과일,fruit
과자,snack
과장,exaggeration
과정,procedure
과제,assignment
과학,science
과학자,Scientist
과학적,scientific
관객,audience
관계,relationship
관계되다,be related
관계없이,Regardless
관계자,Officials
관광,tourism
관광객,tourist
관광버스,tour bus
관광지,Tourist destination
관념,concept
관람,Preview
관람객,Audience
관련,related
관련되다,It is related
관련하다,relate
관리,management
관리하다,manage
관습,custom
관심,interest
관심사,Interest
관점,aspect
관찰,observe
관찰하다,Observe
관하다,govern
광경,scene
광고,advertisement
광장,Plaza
광주,gwangju
괜찮다,Okay
괜히,in vain
괴로움,suffering
괴로워하다,suffer
괴롭다,pain
괴롭히다,bother
굉장하다,It's awesome
굉장히,greatly
교과서,textbook
교내,On campus
교대,rotation
교류,A.C
교문,school gate
교복,uniform
교사,teacher
교수,professor
교시,period
교실,classroom
교양,Culture
교외,suburbs
교육,education
교육비,education expenses
교육자,educator
교장,Principal
교재,textbook
교직,union
교체,substitute
교통,traffic
교통사고,Traffic Accident
교포,Korean
교환,exchange
교환하다,exchange
교회,church
교훈,Lesson
구,nine
구경,caliber
구경하다,watch
구두,shoes
구르다,recoil
구름,cloud
구멍,hole
구별,Distinction
구별되다,be distinguished
구별하다,Distinguish
구분,division
구분되다,separate
구분하다,divide
구석,corner
구석구석,every corner
구성,composition
구성되다,consist of
구성하다,Make up
구속,Restriction
구속되다,be arrested
구속하다,bind
구십,ninety
구역,area
구월,September
구입,purchase
구입하다,Buy
구조,structure
구청,District office
구체적,detailed
구하다,get
국,soup
국가,nation
국가적,national
국기,flag
국내,domestic
국내선,Domestic flights
국내외,Domestic and international
국립,establishment
국물,soup
국민,nation
국민적,national
국사,national affairs
국산,domestically produced
국수,noodle
국어,Korean
국왕,king
국적,nationality
국제,International
국제선,international
국제적,international
국제화,internationalization
국회,Congress
국회의원,member of Congress
군,army
군대,army
군데,here and there
군사,Military
군인,soldier
굳다,harden
굳어지다,harden
굳이,Why?
굳히다,bind
굵다,thick
굶다,starve
굽다,bake
굽히다,bend
궁극적,ultimate
궁금하다,I'm curious
권,volume
권리,right
권위,authority
권투,boxing
권하다,recommend
귀,ear
귀가,homecoming
귀가하다,return home
귀국,Return
귀국하다,return home
귀신,ghost
귀엽다,cute
귀중하다,precious
귀찮다,it's bothering
귀하다,precious
귓속,In your ear
규모,Scale
규정,Rule
규칙,rule
규칙적,regular
균형,balance
귤,mandarin
그,that
그간,In the meantime
그거,that
그것,that
그곳,there
그나마,At least
그날,that day
그냥,just
그녀,she
그놈,That guy
그늘,shade
그다음,next
그다지,very
그대,you
그대로,as it is
그동안,Meantime
그때,at that time
그때그때,From time to time
그래,okay
그래도,still
그래서,so
그래야,So that
그래픽,graphic
그램,gram
그러나,however
그러니까,therefore
그러다,Then
그러면,then
그러므로,therefore
그러하다,It is true
그런,that
그런대로,enough
그런데,however
그럴듯하다,It's plausible
그럼,then
그렇게,like that
그렇다,Yes
그렇지,yes
그렇지만,but
그려지다,drawn
그루,Groo
그룹,group
그릇,bowl
그리,picture
그리고,and
그리다,draw
그리로,There
그리움,longing
그리워하다,miss
그리하여,therefore
그림,painting
그림자,shadow
그립다,Miss you
그만,stop
그만두다,Quit
그만큼,that much
그만하다,stop
그분,Him
그사이,in between
그야말로,Literally
그이,He
그저,just
그저께,Day before yesterday
그전,Before that
그제서야,Only then
그제야,Only then
그중,among them
그쪽,over there
그치다,stop
그토록,So much
그해,that year
극,pole
극복,Overcome
극복하다,Overcome
극작가,playwright
극장,theater
극히,like mad
근거,reason
근거하다,based on
근교,suburb
근데,however
근래,recently
근로,work
근로자,Employee
근무,work
근무하다,work
근본,fundamental
근본적,fundamental
근원,Source
근육,muscle
근처,around
글,writing
글쎄,well
글쎄요,well
글쓰기,writing
글씨,writing
글자,letter
긁다,scratch
금,gold
금강산,Mt. Geumgang
금고,safe
금년,this year
금메달,gold medal
금방,soon
금세,in no time
금액,amount
금연,no smoking
금요일,friday
금지,prohibition
금지되다,be banned
금지하다,to prohibit
금하다,forbid
급,class
급격히,rapidly
급속히,rapidly
급증하다,rapidly increase
급하다,in a hurry
급히,in haste
긋다,draw
긍정적,positive
기,energy
기23,23
기간,period
기계,machine
기관,Agency
기구,machine
기기,device
기념,Commemoration
기념일,Anniversary
기념품,souvenir
기념하다,celebrate
기능,function
기다,crawl
기다리다,wait
기대,expectation
기대다,lean
기대되다,look forward to
기대하다,expect
기도,pray
기도하다,Pray
기독교,Christian
기둥,Pillar
기록,record
기록되다,recorded
기록하다,Record
기르다,cultivate
기름,Oil
기막히다,Amazing
기법,technique
기본,basic
기본적,basic
기분,mood
기뻐하다,I am happy
기쁘다,happy
기쁨,pleasure
기사,article
기성,ready-made
기성세대,older generation
기숙사,dormitory
기술,technology
기술자,technician
기술하다,describe
기억,memory
기억나다,remember
기억되다,remembered
기억하다,remember
기업,Enterprise
기업인,businessman
기여,contribute
기여하다,Contribute
기온,Temperatures
기운,Strength
기울다,slant
기울이다,tilt
기원,origin
기원전,B.C.
기자,reporter
기적,miracle
기준,standard
기차,train
기초,basic
기초적,basic
기초하다,base
기침,cough
기타,etc
기호,sign
기혼,married
기회,opportunity
기획,plan
기후,climate
긴급,emergency
긴장,nervous
긴장감,tension
긴장되다,to be nervous
긴장하다,nervous
길,road
길가,roadside
길거리,Street
길다,long
길어지다,become longer
길이,length
김,seaweed
김밥,kimbap
김치,kimchi
김치찌개,kimchi soup
김포공항,Gimpo International Airport
깊다,deep
깊숙이,deeply
깊이,depth
까다,hatch
까닭,reason
까만색,black
까맣다,It's black
까먹다,forget
까치,magpie
깍두기,Radish kimchi
깎다,cut
깔끔하다,It is clean
깔다,lay
깔리다,be crushed
깜빡,Flash
깜짝,surprise
깡패,bully
깨끗이,clean
깨끗하다,Clean
깨끗해지다,become clean
깨다,wake up
깨닫다,realize
깨달음,enlightenment
깨뜨리다,break
깨소금,Sesame salt
깨어나다,wake up
깨어지다,wake up
깨우다,wake up
깨지다,be broken
꺼내다,take out
꺼지다,break
꺾다,break
껌,chewing gum
껍질,skin
꼬리,tail
꼬마,Little
꼭,please
꼭대기,top
꼴,form
꼼꼼하다,meticulous
꼼짝,Stuck
꼽히다,be singled out
꽂다,stick
꽃,flower
꽃씨,flower seeds
꽃잎,petal
꽉,closely
꽤,fairly
꾸다,dream
꾸리다,manage
꾸미다,decorate
꾸준하다,steady
꾸준히,Steadily
꾸중,scold
꿀,honey
꿈,dream
꿈꾸다,Dreaming
꿈속,in a dream
끄다,turn off
끄덕이다,nod
끈,string
끊기다,cut off
끊다,Quit
끊어지다,cut off
끊임없다,It's endless
끊임없이,endlessly
끌다,drag
끌리다,traipse
끌어당기다,pull
끓다,boil
끓이다,boil
끝,end
끝나다,end
끝내,Finished
끝내다,finish
끝없다,endless
끝없이,eternally
끼,talent
끼다,Put on
끼어들다,intervene
끼우다,insert
나,me
나가다,go out
나누다,divide
나누어지다,be divided
나뉘다,divided
나다,grow
나들이,picnic
나라,country
나란히,side by side
나르다,tote
나름,depending on
나머지,remain
나무,tree
나물,Herbs
나뭇가지,branch
나뭇잎,leaf
나비,butterfly
나빠지다,get worse
나쁘다,bad
나서다,launch
나아가다,go forward
나아지다,get better
나오다,come out
나이,age
나중,later
나침반,Compass
나타나다,appear
나타내다,Express
나흘,four days
낙엽,fallen leaves
낚시,fishing
낚시꾼,angler
낚싯대,fishing rod
난리,Uproar
난방,heating
날,me
날개,wing
날다,fly
날리다,fly
날씨,weather
날아가다,fly away
날아다니다,fly
날아오다,fly in
날짜,date
날카롭다,Sharp
낡다,old
남,other
남기다,leave
남녀,men and women
남다,left
남대문,Namdaemun
남대문시장,Namdaemun Market
남동생,younger brother
남매,siblings
남미,South America
남부,Southern
남북,north and south
남산,Namsan
남성,male
남자,man
남쪽,South
남편,husband
남학생,boy
납득하다,convince
낫다,better
낭비,waste
낮,afternoon
낮다,low
낮아지다,come low
낮추다,lower
낯설다,strange
낱말,word
낳다,give birth
내,my
내과,medicine
내내,all the time
내년,next year
내놓다,put out
내다,Pay
내다보다,look out
내달,next month
내려가다,go down
내려놓다,put down
내려다보다,look down
내려오다,go down
내려지다,put down
내리다,get off
내밀다,hold out
내버리다,throw away
내보내다,send out
내부,interior
내쉬다,exhale
내외,Inside and outside
내용,detail
내용물,contents
내일,tomorrow
내적,dot product
내주다,let
내지,inside
내후년,next year
냄비,pot
냄새,smell
냇물,stream
냉동,frozen
냉면,Cold noodles
냉방,cooling
냉장고,refrigerator
너,you
너머,beyond
너무,too
너무나,too
너희,you guys
넉,four
넉넉하다,Plenty
널리,extensively
넓다,wide
넓어지다,widen
넓히다,widen
넘겨주다,hand over
넘기다,to pass over
넘다,exceed
넘어가다,skip
넘어뜨리다,knock down
넘어서다,overcome
넘어오다,come over
넘어지다,fall down
넘치다,spill over
넣다,Insert
네,yes
네거리,crossroads
넥타이,necktie
넷,four
넷째,fourth
녀석,guy
년,year
년대,decade
년도,year
년생8,Born in 8
노동,labor
노동자,worker
노란색,yellow
노랗다,yellow
노래,sing
노래방,karaoke
노래하다,Sing
노랫소리,singing voice
노력,effort
노력하다,try hard
노선,route
노인,old man
노트,note
녹다,melt
녹색,green
녹음,record
녹음하다,record
녹이다,melt
녹차,green tea
녹화,recording
논,rice paddy
논리,logic
논리적,logical
논문,thesis
논의하다,discuss
논쟁,arguement
논하다,reason
놀다,play
놀라다,surprised
놀랍다,surprising
놀리다,Badinage
놀이,play
놀이터,playground
놈,bloke
농구,basketball
농담,joke
농민,farmers
농부,farmer
농사,farming
농사일,farming
농사짓다,farm
농산물,Agricultural products
농업,Agriculture
농장,Farm
농촌,Rural
높다,high
높아지다,get higher
높이,height
높이다,heighten
놓다,put
놓아두다,let go
놓이다,go
놓치다,to let go
놔두다,leave
뇌,brain
누구,who
누나,sister
누르다,Press down
눈,eye
눈가,around the eyes
눈감다,close one's eyes
눈길,line of vision
눈동자,pupil
눈뜨다,open one's eyes
눈물,tear
눈병,eye disease
눈부시다,dazzling
눈빛,a look
눈썹,Eyebrow
눈앞,Before your eyes
눕다,lay down
뉴스,news
뉴욕,New York
느껴지다,feel
느끼다,feel
느낌,feeling
느리다,slow
늑대,A wolf
늘,always
늘다,gain
늘리다,increase
늘어나다,increase
늘어놓다,lay out
늘어서다,line up
늘어지다,hang down
늙다,old
능동적,active
능력,ability
늦가을,late fall
늦다,late
늦어지다,be late
다,all
다가가다,Go closer
다가서다,approach
다가오다,to come closer
다녀가다,go around
다녀오다,come back
다니다,go
다듬다,trim
다루다,Deal with
다르다,different
다른,different
다름없다,It's no different
다리,leg
다만,but
다방,coffee house
다섯,five
다섯째,fifth
다소,a little
다수,many
다시,again
다양성,Diversity
다양하다,Varies
다양해지다,become diverse
다음,next
다이어트,diet
다정하다,considerate
다지다,mince
다짐하다,promise
다치다,get hurt
다투다,contend
다툼,conflict
다하다,fulfill
다행,Relief
다행히,Fortunately
닥치다,befall
닦다,To Wipe
단,step
단계,step
단골,connexion
단단하다,hard
단독,single
단맛,sweetness
단순,simple
단순하다,simple
단순히,simply
단어,word
단위,unit
단점,disadvantage
단지,only
단체,organization
단추,button
단편,snippet
단풍,Maple
닫다,close
닫히다,shut
달,moon
달걀,egg
달다,Sweet
달라지다,to be different
달래다,lull
달러,dollar
달려가다,run
달려들다,rush
달려오다,run
달력,calendar
달리,unlike
달리기,running
달리다,run
달리하다,differ
달빛,Moonlight
달아나다,run away
닭,chicken
닭고기,chicken
닮다,Resemble
담,wall
담그다,Dip
담기다,put in
담다,contain
담당,in charge
담당자,manager
담당하다,It is responsible for
담배,cigarette
담요,blanket
담임,homeroom teacher
답,answer
답답하다,frustrated
답변,answer
답장,reply
답하다,answer
닷새,five days
당근,carrot
당기다,pull
당당하다,confident
당분간,for now
당시,at that time
당신,you
당연하다,Of course
당연히,of course
당장,right now
당하다,encounter
당황하다,Panic
닿다,reach
대,big
대가,cost
대강,outline
대개,mostly
대구,daegu
대규모,Large-scale
대기,atmosphere
대기업,major company
대기하다,wait
대낮,midday
대다,put
대다수,plurality
대단하다,amazing
대단히,very
대답,answer
대답하다,Answer
대도시,big city
대략,approximately
대량,block
대로,Road
대륙,continent
대문,main door
대부분,mostly
대비,prepare
대비하다,Be ready
대사,line
대사관,Embassy
대상자,Subject
대신,instead
대신하다,It is instead
대여섯,Five or six
대응,react
대응하다,react
대입,college admissions
대전,Daejeon
대접,Hospitality
대접하다,entertain
대중,public
대중교통,public transport
대중문화,popular culture
대중적,popular
대책,Measures
대처하다,cope with
대체,how
대체로,generally
대출,loan
대충,Roughly
대통령,president
대표,representative
대표적,representative
대표하다,to represent
대하다,treat
대학,university
대학교,university
대학교수,university professor
대학로,Daehak-ro
대학생,College student
대학원,Graduate school
대한민국,korea
대합실,waiting room
대형,large
대화,conversation
대화하다,Converse with
대회,Competition
댁,Dak
댐,dam
더,more
더구나,Moreover
더더욱,Even more
더러워지다,get dirty
더럽다,dirty
더불다,together
더욱,More
더욱더,even more
더욱이,Furthermore
더위,heat
더하다,add
덕,virtue
덕분,thanks for
덕수궁,Deoksugung Palace
던지다,throw
덜,less
덜다,subtract
덥다,hot
덧붙이다,add
덩어리,Lump
덮다,cover
덮이다,cope
데,place
데려가다,take
데려오다,bring
데리다,be accompanied
데우다,warm up
데이트,date
도,do
도구,equipment
도달하다,Reach
도대체,why
도덕,moral
도둑,thief
도로,road name
도리어,On the contrary
도마,cutting board
도망,escape
도망가다,run away
도망치다,run away
도서관,library
도시,city
도시락,lunch box
도심,downtown
도와주다,help
도움,help
도움말,Help
도입,introduction
도자기,ceramic
도장,stamp
도저히,No way
도전,challenge
도중,on the way
도착,arrive
도착하다,arrive
도쿄(동경),Tokyo
독감,flu
독립,Independent
독립하다,become independent
독서,reading
독일,germany
독일어,German
독창적,original
독특하다,special
독하다,It's strong
돈,money
돌,rock
돌다,spin
돌려주다,Give back
돌리다,turn
돌멩이,stone
돌보다,Take care
돌아가다,return
돌아다니다,Roam
돌아보다,look back
돌아서다,turn around
돌아오다,Come back
돕다,help
동,dong
동그라미,circle
동그랗다,round
동기,motivation
동네,town
동대문,Dong Dae Moon
동대문시장,Dongdaemun Market
동료,colleague
동물,animal
동물원,Zoo
동부,Eastern
동생,Brother
동서,cohabitation
동서남북,north south east west
동시,The same time
동아리,club
동안,during
동양,Eastern
동양인,an Asian
동의,agreement
동의하다,Agree
동일하다,same
동작,movement
동전,coin
동쪽,East
동창,alumni
동포,compatriots
동행,accompany
동화,Fairytale
동화책,fairy tale book
돼지,pig
돼지고기,pork
되게,very
되다,become
되돌리다,get back
되돌아가다,turn back
되돌아보다,look back
되돌아오다,come back
되살리다,revive
되찾다,get back
되풀이되다,repeat
되풀이하다,repeat
된장,soybean paste
된장찌개,soy bean paste soup
두,two
두껍다,thick
두께,thickness
두뇌,brains
두다,put
두드러지다,stand out
두드리다,knock
두려움,fear
두려워하다,afraid of
두렵다,afraid
두르다,borrow
두리번거리다,look around
두부,tofu
두세,two or three
두어,put it
두통,headache
둘,two
둘러보다,Look around
둘러싸다,surround
둘러싸이다,be surrounded
둘째,second
둥글다,round
둥지,nest
뒤,back
뒤늦다,It's too late
뒤따르다,beset
뒤지다,fall behind
뒤집다,reverse
뒤쪽,behind
뒤편,behind
뒷골목,back street
뒷모습,back
뒷문,back door
뒷산,back mountain
드디어,at las
드라마,drama
드러나다,emerge
드리다,give
드물다,rare
듣다,listen
들,field
들다,Hold
들려오다,hear
들려주다,tell
들르다,drop in at
들리다,hear
들어가다,enter
들어서다,enter
들어오다,come in
들어주다,listen
들여놓다,bring in
들여다보다,look into
들이다,admit
들이마시다,inhale
들이켜다,drink up
듯,Seems like
듯싶다,It seems like
듯이,as if
듯하다,look like
등,etc.
등등,etc
등록,registration
등록금,Tuition
등록증,registration certificate
등록하다,It is registered
등산,mountain climbing
등산로,hiking trail
등장,appear
등장하다,appear
디스크,disk
디자이너,designer
디자인,design
따님,Daughter
따다,Pick
따뜻하다,warm
따라가다,to follow
따라다니다,follow
따라서,thus
따라오다,follow
따로,separately
따로따로,Separately
따르다,follow
따스하다,warm
딱,Just
딱딱하다,It is hard
딴,different
딸,daughter
딸기,strawberry
딸아이,daughter
땀,sweat
땅,earth
땅바닥,ground
땅속,bowels of the earth
땅콩,peanut
때,at the time
때때로,sometimes
때로,sometimes
때리다,hit
때문,because
땜,tinkering
떠나가다,leave
떠나다,leave
떠나오다,leave
떠들다,Chatter
떠들썩하다,make a fuss
떠오르다,fly
떠올리다,recall
떡,rice cake
떡국,tteokguk
떡볶이,tteokbokki
떨다,shiver
떨리다,nervous
떨어뜨리다,To drop
떨어지다,get off
떼,group
떼다,cut
또,also
또는,or
또다시,Again
또한,also
똑같다,same
똑같이,same
똑똑하다,Smart
똑바로,upright
뚜껑,Lid
뚫다,bore
뚱뚱하다,Fat
뛰놀다,run around
뛰다,run
뛰어가다,run
뛰어나가다,run out
뛰어나다,outstanding
뛰어나오다,jump out
뛰어내리다,jump off
뛰어넘다,jump over
뛰어놀다,run around
뛰어다니다,run around
뛰어들다,jump in
뛰어오다,jump
뛰어오르다,jump
뜨겁다,hot
뜨다,to rise
뜯다,tear off
뜰,garden
뜻,meaning
뜻대로,As you wish
뜻밖,unexpected
뜻밖에,unexpectedly
뜻하다,mean
띄다,stand out
띄우다,ferment
라디오,radio
라면,ramen
라운드,round
라이벌,rival
라이터,lighter
라인,line
라켓,racket
러시아,russia
런던,London
레몬,lemon
레스토랑,restaurant
레이저,laser
레저,leisure
렌즈,lens
로봇,robot
로터리,roundabout
리,lee
리그,League
리듬,rhythm
리터,liter
마구,harness
마누라,wife
마늘,garlic
마당,yard
마디,word
마땅하다,deserved
마라톤,marathon
마련,prepared
마련되다,prepared
마련하다,prepare
마루,Floor
마르다,dry
마리,number of animals
마무리,finish
마사지,massage
마시다,drink
마약,drug
마요네즈,mayonnaise
마을,Town
마음,mind
마음가짐,mental attitude
마음껏,As much as you like
마음대로,as you please
마음먹다,make up your mind
마음속,In my heart
마음씨,nature
마이크,mike
마주,face to face
마주치다,Come across
마중,welcome
마지막,last
마찬가지,same here
마찰,friction
마치,like
마치다,finish
마침,Finish
마침내,Finally
마크,mark
마흔,forty
막,membrane
막걸리,Makgeolli
막내,the youngest
막다,block
막상,Actually
막히다,blocked
만,only
만나다,meet
만남,meeting
만두,dumpling
만들다,make
만들어지다,Made
만만하다,It's easy
만세,hurray
만약,if
만일,if
만점,perfect score
만족,Satisfaction
만족스럽다,I'm satisfied
만족하다,satisfied
만지다,touch
만큼,as much as
만하다,be worth
만화,comic book
만화가,cartoonist
많다,many
많아지다,increase
많이,many
말,word
말기,last period
말다,roll
말리다,dry
말씀,words
말씀드리다,tell you
말씀하다,speak
말없이,Without saying a word
말투,speech
말하다,say
맑다,clear
맘,Mom
맘대로,As you like
맛,taste
맛보다,taste
맛없다,not delicious
맛있다,it's good
망설이다,hesitate
망원경,telescope
망치다,ruin
망하다,failed
맞다,right
맞서다,stand opposite each other
맞은편,Across
맞이하다,greet
맞추다,set
맡기다,entrust
맡다,take on
매,hawk
매너,manner
매년,every year
매다,Tie
매달,medal
매달다,suspend
매달리다,hang on
매력,attractiveness
매번,every time
매스컴,mass media
매우,very
매일,everyday
매장,store
매주,every week
매체,media
맥주,beer
맨,man
맵다,spicy
맺다,form
머리,head
머리말,preface
머리카락,hair
머리칼,hair
머릿속,in my head
머무르다,stay
머물다,stay
먹고살다,make a living
먹다,eat
먹이,food
먹이다,batten
먹히다,get eaten
먼저,first
먼지,dust
멀다,far
멀리,far
멀어지다,To get farther away
멈추다,Stop
멋,taste
멋있다,stylish
멋지다,awesome
멍멍,Woof woof
멎다,stop
메뉴,menu
메다,meda
메모,memo
메시지,message
메우다,fill up
메일,mail
며느리,daughter-in-law
며칠,few days
면,noodle
면담,interview
면적,area
면접,interview
면하다,avoid
멸치,anchovy
명,number of people
명단,list
명령,Command
명령어,command
명예,honor
명의,Name
명절,holiday
명칭,designation
명함,Business card
명확하다,clear
몇,some
몇몇,some
몇십,tens
모,what
모금,fundraising
모기,mosquito
모니터,monitor
모델,Model
모두,every
모든,every
모래,sand
모레,day after tomorrow
모르다,don't know
모범,Example
모색하다,grope
모습,figure
모시다,deify
모양,shape
모여들다,gather together
모으다,collect
모이다,gather
모임,class
모자,hat
모자라다,not enough
모조리,all
모집,recruitment
모집하다,recruit
모처럼,After a long time
모퉁이,corner
목,neck
목걸이,necklace
목록,List
목사,minister
목소리,voice
목숨,life
목요일,thursday
목욕,bath
목욕탕,baths
목적,purpose
목표,target
몰다,drive
몰래,stealthily
몰려들다,flock
몰려오다,flock
몸,body
몸매,body
몸무게,weight
몸살,sick
몸속,Inside the body
몸짓,gesture
몸통,body
몹시,Heavily
못,pond
못되다,be mean
못생기다,ugly
못지않다,It's no less
못하다,Can not do it
묘사,describe
묘사하다,Depict
무,radish
무겁다,heavy
무게,weight
무관심,indifference
무관심하다,indifferent
무궁화,Rose of Sharon
무기,weapon
무너지다,fallen
무늬,pattern
무대,stage
무더위,swelter
무덤,tomb
무덥다,It's hot
무려,whopping
무렵,Around the time
무료,free
무릎,knee
무리,swarm
무리하다,overwork
무사하다,safe
무섭다,scary
무슨,what
무시하다,ignore
무어,moore
무엇,what
무역,Trade
무용,dancing
무용가,dancer
무의미하다,meaningless
무조건,must
무지개,rainbow
무책임하다,irresponsible
무척,very
묵다,lodge
묶다,tie
묶이다,knot
문,door
문구,Phrases
문득,suddenly
문밖,outside the door
문법,grammar
문서,document
문자,message
문장,sentence
문제,problem
문제되다,be a problem
문제점,problem
문학,literature
문학적,literary
문화,culture
